iter	Passed	Remaining
0	56	28424
1	57	14428
2	58	9665
3	60	7529
4	61	6118
5	62	5163
6	63	4452
7	63	3930
8	65	3591
9	67	3310
10	68	3049
11	69	2835
12	70	2635
13	71	2497
14	72	2355
15	73	2216
16	74	2127
17	76	2035
18	77	1967
19	78	1880
20	80	1828
21	80	1758
22	82	1702
23	82	1638
24	82	1576
25	83	1525
26	84	1479
27	86	1451
28	86	1405
29	88	1380
30	89	1352
31	90	1330
32	91	1297
33	92	1268
34	93	1236
35	93	1211
36	94	1187
37	96	1172
38	98	1161
39	100	1156
40	102	1144
41	103	1128
42	103	1104
43	104	1086
44	106	1076
45	108	1069
46	114	1107
47	116	1094
48	138	1274
49	143	1290
50	145	1280
51	147	1273
52	149	1262
53	150	1241
54	154	1253
55	159	1266
56	161	1252
57	162	1241
58	164	1230
59	165	1216
60	167	1204
61	168	1192
62	170	1180
63	171	1170
64	173	1158
65	173	1143
66	175	1133
67	176	1120
68	177	1111
69	179	1102
70	181	1094
71	182	1086
72	184	1077
73	185	1067
74	186	1059
75	188	1052
76	189	1040
77	190	1030
78	191	1019
79	191	1007
80	193	999
81	195	998
82	198	995
83	200	991
84	201	984
85	203	979
86	205	973
87	206	968
88	208	964
89	210	958
90	211	951
91	212	942
92	214	936
93	214	928
94	215	919
95	217	915
96	218	905
97	218	897
98	219	889
99	220	883
100	222	877
101	223	870
102	224	865
103	226	861
104	227	854
105	228	850
106	229	843
107	230	835
108	231	831
109	232	824
110	234	820
111	235	817
112	237	813
113	238	808
114	239	803
115	240	796
116	242	792
117	244	790
118	246	787
119	246	781
120	248	779
121	250	775
122	251	772
123	252	766
124	254	763
125	255	759
126	257	755
127	259	753
128	261	750
129	262	748
130	263	743
131	265	739
132	266	736
133	269	734
134	270	731
135	272	728
136	273	723
137	273	718
138	275	716
139	277	713
140	278	709
141	280	706
142	281	702
143	282	697
144	283	694
145	285	693
146	287	690
147	288	686
148	289	682
149	291	679
150	293	677
151	295	675
152	296	671
153	297	668
154	298	665
155	300	663
156	302	661
157	303	657
158	305	654
159	306	652
160	308	649
161	310	647
162	312	645
163	313	643
164	315	640
165	316	636
166	318	634
167	319	631
168	321	628
169	322	626
170	323	623
171	325	620
172	327	618
173	328	615
174	329	611
175	331	609
176	333	607
177	334	604
178	335	602
179	337	599
180	338	597
181	340	594
182	342	592
183	343	590
184	345	588
185	347	586
186	348	583
187	350	581
188	351	579
189	352	575
190	354	573
191	355	570
192	357	568
193	359	567
194	361	564
195	362	562
196	364	560
197	366	558
198	368	557
199	370	555
200	371	552
201	373	551
202	375	549
203	376	546
204	378	545
205	380	542
206	381	540
207	383	538
208	385	536
209	386	533
210	388	531
211	390	530
212	392	528
213	394	526
214	396	525
215	397	522
216	399	520
217	400	518
218	402	516
219	403	513
220	405	512
221	407	510
222	408	507
223	410	505
224	411	503
225	413	501
226	414	498
227	416	496
228	417	494
229	419	492
230	420	490
231	422	488
232	424	486
233	425	483
234	427	481
235	428	479
236	430	478
237	432	476
238	434	473
239	435	471
240	437	469
241	439	468
242	441	466
243	442	464
244	444	463
245	446	461
246	448	459
247	449	456
248	451	454
249	452	452
250	455	451
251	456	449
252	458	447
253	459	445
254	461	443
255	463	441
256	464	439
257	466	437
258	467	435
259	469	433
260	471	431
261	472	429
262	474	427
263	476	425
264	477	423
265	480	422
266	481	420
267	483	418
268	484	416
269	486	414
270	487	411
271	489	409
272	490	407
273	492	406
274	494	404
275	495	402
276	497	400
277	499	398
278	501	397
279	503	395
280	505	393
281	507	392
282	508	390
283	510	388
284	511	386
285	513	384
286	515	382
287	516	380
288	518	378
289	520	376
290	521	374
291	523	372
292	524	370
293	527	369
294	528	367
295	530	365
296	532	363
297	533	361
298	534	359
299	536	357
300	537	355
301	539	353
302	540	351
303	542	349
304	543	347
305	545	345
306	546	343
307	548	341
308	549	339
309	551	338
310	553	336
311	554	334
312	556	332
313	558	330
314	559	328
315	562	327
316	563	325
317	565	323
318	566	321
319	568	319
320	570	318
321	572	316
322	573	314
323	575	312
324	577	310
325	578	308
326	580	307
327	582	305
328	584	303
329	586	301
330	588	300
331	589	298
332	591	296
333	592	294
334	594	292
335	595	290
336	597	289
337	599	287
338	600	285
339	602	283
340	603	281
341	605	279
342	607	277
343	609	276
344	611	274
345	612	272
346	614	270
347	616	269
348	617	267
349	619	265
350	620	263
351	622	261
352	624	259
353	626	258
354	627	256
355	629	254
356	630	252
357	632	250
358	633	248
359	635	247
360	637	245
361	639	243
362	641	242
363	643	240
364	644	238
365	646	236
366	648	234
367	650	233
368	652	231
369	653	229
370	655	227
371	656	226
372	658	224
373	660	222
374	662	220
375	663	218
376	665	217
377	667	215
378	669	213
379	671	212
380	672	210
381	674	208
382	676	206
383	678	204
384	680	203
385	681	201
386	683	199
387	684	197
388	686	195
389	688	194
390	689	192
391	691	190
392	693	188
393	694	186
394	696	185
395	698	183
396	699	181
397	701	179
398	703	178
399	704	176
400	706	174
401	708	172
402	710	170
403	712	169
404	714	167
405	716	165
406	717	163
407	718	162
408	720	160
409	721	158
410	724	156
411	725	154
412	727	153
413	728	151
414	730	149
415	732	147
